function,recommendation_type,candidate_label,portal_string,mu_t,sigma_t,ei,log_ei,pi,ucb,ucb_beta,ts,exploration_score,is_submission,seed,candidate_origin,stagnation_flag,why,selection_mode,consensus_frequency,n_seed_success
function_1,chosen_submission,pool_004011,0.757256-0.711151,-1.4069895281566344e-05,1e-05,3.610728273618614e-07,-14.834186161115381,0.07971514568331978,3.2506127941224296e-06,3.0,1.529271828585521e-05,2.8557276244425085e-06,True,2,tr,True,"mu_t=-1.40699e-05, sigma_t=1e-05, ei=3.61073e-07, pi=0.0797151, ucb=3.25061e-06, beta=3.00, ts=1.52927e-05, explore=2.85573e-06",robust_consensus,1,5
function_1,primary_pareto_sigma,pool_000756,0.999911-0.086484,-1.4069895281557433e-05,1e-05,3.6107282736257206e-07,-14.834186161113413,0.07971514568345194,3.2506127941313404e-06,3.0,-8.595146595578024e-08,2.0132938576276577e-06,False,2,global,True,"mu_t=-1.40699e-05, sigma_t=1e-05, ei=3.61073e-07, pi=0.0797151, ucb=3.25061e-06, beta=3.00, ts=-8.59515e-08, explore=2.01329e-06",robust_consensus,1,5
function_1,trust_region_ts,pool_004011,0.757256-0.711151,-1.4069895281566344e-05,1e-05,3.610728273618614e-07,-14.834186161115381,0.07971514568331978,3.2506127941224296e-06,3.0,1.529271828585521e-05,2.8557276244425085e-06,False,2,tr,True,"mu_t=-1.40699e-05, sigma_t=1e-05, ei=3.61073e-07, pi=0.0797151, ucb=3.25061e-06, beta=3.00, ts=1.52927e-05, explore=2.85573e-06",robust_consensus,1,5
function_1,global_explore,pool_000523,0.994292-0.991002,-1.4069895281561777e-05,1e-05,3.6107282736222573e-07,-14.834186161114372,0.0797151456833875,3.250612794126997e-06,3.0,-2.5959302910655397e-05,2.8184187748589634e-05,False,2,global,True,"mu_t=-1.40699e-05, sigma_t=1e-05, ei=3.61073e-07, pi=0.0797151, ucb=3.25061e-06, beta=3.00, ts=-2.59593e-05, explore=2.81842e-05",robust_consensus,1,5
function_1,best_mu,pool_000756,0.999911-0.086484,-1.4069895281557433e-05,1e-05,3.6107282736257206e-07,-14.834186161113413,0.07971514568345194,3.2506127941313404e-06,3.0,-8.595146595578024e-08,2.0132938576276577e-06,False,2,global,True,"mu_t=-1.40699e-05, sigma_t=1e-05, ei=3.61073e-07, pi=0.0797151, ucb=3.25061e-06, beta=3.00, ts=-8.59515e-08, explore=2.01329e-06",robust_consensus,1,5
function_1,best_sigma,pool_000000,0.533116-0.232039,-1.4069895281567103e-05,1e-05,3.6107282736180046e-07,-14.83418616111555,0.07971514568330856,3.2506127941216707e-06,3.0,-2.209826464139587e-05,1.0283018460748787e-05,False,2,global,True,"mu_t=-1.40699e-05, sigma_t=1e-05, ei=3.61073e-07, pi=0.0797151, ucb=3.25061e-06, beta=3.00, ts=-2.20983e-05, explore=1.0283e-05",robust_consensus,1,5
function_1,best_logEI,pool_000756,0.999911-0.086484,-1.4069895281557433e-05,1e-05,3.6107282736257206e-07,-14.834186161113413,0.07971514568345194,3.2506127941313404e-06,3.0,-8.595146595578024e-08,2.0132938576276577e-06,False,2,global,True,"mu_t=-1.40699e-05, sigma_t=1e-05, ei=3.61073e-07, pi=0.0797151, ucb=3.25061e-06, beta=3.00, ts=-8.59515e-08, explore=2.01329e-06",robust_consensus,1,5
function_1,best_PI,pool_000756,0.999911-0.086484,-1.4069895281557433e-05,1e-05,3.6107282736257206e-07,-14.834186161113413,0.07971514568345194,3.2506127941313404e-06,3.0,-8.595146595578024e-08,2.0132938576276577e-06,False,2,global,True,"mu_t=-1.40699e-05, sigma_t=1e-05, ei=3.61073e-07, pi=0.0797151, ucb=3.25061e-06, beta=3.00, ts=-8.59515e-08, explore=2.01329e-06",robust_consensus,1,5
function_1,best_UCB,pool_000756,0.999911-0.086484,-1.4069895281557433e-05,1e-05,3.6107282736257206e-07,-14.834186161113413,0.07971514568345194,3.2506127941313404e-06,3.0,-8.595146595578024e-08,2.0132938576276577e-06,False,2,global,True,"mu_t=-1.40699e-05, sigma_t=1e-05, ei=3.61073e-07, pi=0.0797151, ucb=3.25061e-06, beta=3.00, ts=-8.59515e-08, explore=2.01329e-06",robust_consensus,1,5
function_1,best_exploration,pool_000523,0.994292-0.991002,-1.4069895281561777e-05,1e-05,3.6107282736222573e-07,-14.834186161114372,0.0797151456833875,3.250612794126997e-06,3.0,-2.5959302910655397e-05,2.8184187748589634e-05,False,2,global,True,"mu_t=-1.40699e-05, sigma_t=1e-05, ei=3.61073e-07, pi=0.0797151, ucb=3.25061e-06, beta=3.00, ts=-2.59593e-05, explore=2.81842e-05",robust_consensus,1,5
