function,recommendation_type,candidate_label,portal_string,mu_t,sigma_t,ei,log_ei,pi,ucb,ucb_beta,ts,exploration_score,is_submission,seed,candidate_origin,stagnation_flag,stagnation_gain,stagnation_threshold,stagnation_scale,why,selection_mode,consensus_frequency,n_seed_success
function_1,chosen_submission,pool_001330,0.001046-0.030713,-0.00019117295924181186,1e-05,1.8048513878454153e-35,-201.0766971538682,9.06311672774463e-82,-0.00017385245116612307,3.0,-0.00018919870493536257,2.6375808709661162e-05,True,1,global,False,6.832127967645083e-12,1e-15,3.114928234084329e-48,"mu_t=-0.000191173, sigma_t=1e-05, ei=1.80485e-35, pi=9.06312e-82, ucb=-0.000173852, beta=3.00, ts=-0.000189199, explore=2.63758e-05, stagnation_gain=6.83213e-12, threshold=1e-15",robust_consensus,1,5
function_1,primary_pareto_sigma,pool_001179,0.969325-0.997164,-0.00019117245971066163,1e-05,1.8048513878454153e-35,-201.0757370027302,9.07179941794978e-82,-0.00017385195163497285,3.0,-0.00020348736284363434,2.1510847247277827e-06,False,1,global,False,6.832127967645083e-12,1e-15,3.114928234084329e-48,"mu_t=-0.000191172, sigma_t=1e-05, ei=1.80485e-35, pi=9.0718e-82, ucb=-0.000173852, beta=3.00, ts=-0.000203487, explore=2.15108e-06, stagnation_gain=6.83213e-12, threshold=1e-15",robust_consensus,1,5
function_1,trust_region_ts,pool_004028,0.290250-0.392081,-0.00019117295901676946,1e-05,1.8048513878454153e-35,-201.07669672131254,9.063120637492964e-82,-0.00017385245094108067,3.0,-0.00015738374178259637,2.4785185698448997e-06,False,1,tr,False,6.832127967645083e-12,1e-15,3.114928234084329e-48,"mu_t=-0.000191173, sigma_t=1e-05, ei=1.80485e-35, pi=9.06312e-82, ucb=-0.000173852, beta=3.00, ts=-0.000157384, explore=2.47852e-06, stagnation_gain=6.83213e-12, threshold=1e-15",robust_consensus,1,5
function_1,global_explore,pool_001330,0.001046-0.030713,-0.00019117295924181186,1e-05,1.8048513878454153e-35,-201.0766971538682,9.06311672774463e-82,-0.00017385245116612307,3.0,-0.00018919870493536257,2.6375808709661162e-05,False,1,global,False,6.832127967645083e-12,1e-15,3.114928234084329e-48,"mu_t=-0.000191173, sigma_t=1e-05, ei=1.80485e-35, pi=9.06312e-82, ucb=-0.000173852, beta=3.00, ts=-0.000189199, explore=2.63758e-05, stagnation_gain=6.83213e-12, threshold=1e-15",robust_consensus,1,5
function_1,best_mu,pool_001179,0.969325-0.997164,-0.00019117245971066163,1e-05,1.8048513878454153e-35,-201.0757370027302,9.07179941794978e-82,-0.00017385195163497285,3.0,-0.00020348736284363434,2.1510847247277827e-06,False,1,global,False,6.832127967645083e-12,1e-15,3.114928234084329e-48,"mu_t=-0.000191172, sigma_t=1e-05, ei=1.80485e-35, pi=9.0718e-82, ucb=-0.000173852, beta=3.00, ts=-0.000203487, explore=2.15108e-06, stagnation_gain=6.83213e-12, threshold=1e-15",robust_consensus,1,5
function_1,best_sigma,pool_000000,0.546560-0.420830,-0.00019117295760745436,1e-05,1.8048513878454153e-35,-201.07669401245806,9.063145122104587e-82,-0.00017385244953176557,3.0,-0.00020855562159242317,1.429533785733037e-05,False,1,global,False,6.832127967645083e-12,1e-15,3.114928234084329e-48,"mu_t=-0.000191173, sigma_t=1e-05, ei=1.80485e-35, pi=9.06315e-82, ucb=-0.000173852, beta=3.00, ts=-0.000208556, explore=1.42953e-05, stagnation_gain=6.83213e-12, threshold=1e-15",robust_consensus,1,5
function_1,best_logEI,pool_001179,0.969325-0.997164,-0.00019117245971066163,1e-05,1.8048513878454153e-35,-201.0757370027302,9.07179941794978e-82,-0.00017385195163497285,3.0,-0.00020348736284363434,2.1510847247277827e-06,False,1,global,False,6.832127967645083e-12,1e-15,3.114928234084329e-48,"mu_t=-0.000191172, sigma_t=1e-05, ei=1.80485e-35, pi=9.0718e-82, ucb=-0.000173852, beta=3.00, ts=-0.000203487, explore=2.15108e-06, stagnation_gain=6.83213e-12, threshold=1e-15",robust_consensus,1,5
function_1,best_PI,pool_001179,0.969325-0.997164,-0.00019117245971066163,1e-05,1.8048513878454153e-35,-201.0757370027302,9.07179941794978e-82,-0.00017385195163497285,3.0,-0.00020348736284363434,2.1510847247277827e-06,False,1,global,False,6.832127967645083e-12,1e-15,3.114928234084329e-48,"mu_t=-0.000191172, sigma_t=1e-05, ei=1.80485e-35, pi=9.0718e-82, ucb=-0.000173852, beta=3.00, ts=-0.000203487, explore=2.15108e-06, stagnation_gain=6.83213e-12, threshold=1e-15",robust_consensus,1,5
function_1,best_UCB,pool_001179,0.969325-0.997164,-0.00019117245971066163,1e-05,1.8048513878454153e-35,-201.0757370027302,9.07179941794978e-82,-0.00017385195163497285,3.0,-0.00020348736284363434,2.1510847247277827e-06,False,1,global,False,6.832127967645083e-12,1e-15,3.114928234084329e-48,"mu_t=-0.000191172, sigma_t=1e-05, ei=1.80485e-35, pi=9.0718e-82, ucb=-0.000173852, beta=3.00, ts=-0.000203487, explore=2.15108e-06, stagnation_gain=6.83213e-12, threshold=1e-15",robust_consensus,1,5
function_1,best_exploration,pool_001330,0.001046-0.030713,-0.00019117295924181186,1e-05,1.8048513878454153e-35,-201.0766971538682,9.06311672774463e-82,-0.00017385245116612307,3.0,-0.00018919870493536257,2.6375808709661162e-05,False,1,global,False,6.832127967645083e-12,1e-15,3.114928234084329e-48,"mu_t=-0.000191173, sigma_t=1e-05, ei=1.80485e-35, pi=9.06312e-82, ucb=-0.000173852, beta=3.00, ts=-0.000189199, explore=2.63758e-05, stagnation_gain=6.83213e-12, threshold=1e-15",robust_consensus,1,5
