function,seed,status,portal_string,submission_score,mu_t,error_type,error_message
function_1,0,success,0.009067-0.000548,-0.0001861729592418257,-0.0001911729592418257,,
function_1,1,success,0.001046-0.030713,-0.00018617295924181184,-0.00019117295924181186,,
function_1,2,success,0.000896-0.025115,-0.0001861729592418185,-0.00019117295924181852,,
function_1,3,success,0.009624-0.015397,-0.00018617295924182545,-0.00019117295924182546,,
function_1,4,success,0.000038-0.024944,-0.00018617295924181867,-0.00019117295924181869,,
function_2,0,success,0.710144-0.936133,0.745055007077792,0.7179766445645349,,
function_2,1,success,0.711913-0.940009,0.7439938147259488,0.7117485918957709,,
function_2,2,success,0.715648-0.938161,0.7458428646699469,0.7130304174308422,,
function_2,3,success,0.717740-0.932923,0.7468265649426158,0.7180834822411467,,
function_2,4,success,0.713369-0.935041,0.7491619658924865,0.720951964162905,,
function_3,0,success,0.604269-0.518261-0.526564,3.121041078329636,3.0502115378848833,,
function_3,1,success,0.557226-0.497418-0.633027,2.9319610096889646,2.813350592009174,,
function_3,2,success,0.474235-0.641683-0.618967,2.903983026734032,2.7949935926680434,,
function_3,3,success,0.588241-0.609718-0.534144,3.1268891772398777,3.053810846404692,,
function_3,4,success,0.576641-0.361622-0.566370,3.0910725492756663,3.0003037397609713,,
function_4,0,success,0.372556-0.357420-0.381533-0.433495,0.41669095922362226,0.2974552306529086,,
function_4,1,success,0.409341-0.349272-0.326257-0.395482,0.0585468202313357,-0.0970431228676425,,
function_4,2,success,0.351812-0.337461-0.361117-0.399129,0.19381754899002407,0.05385323679123655,,
function_4,3,success,0.339495-0.368330-0.391883-0.424556,0.43132897879199084,0.32132627180754536,,
function_4,4,success,0.398800-0.352027-0.392134-0.404229,0.43961988294607823,0.3187315511940563,,
function_5,0,success,0.843136-0.999999-0.999999-0.999999,12.636034691451437,12.547805590068405,,
function_5,1,success,0.850151-0.947702-0.999999-0.999999,12.636034691451455,12.54780559006823,,
function_5,2,success,0.900483-0.999999-0.999999-0.999999,12.63603469145156,12.547805590068343,,
function_5,3,success,0.870187-0.999999-0.999999-0.999999,12.636034691451806,12.547805590068316,,
function_5,4,success,0.884287-0.948741-0.999999-0.999999,12.636034691451627,12.54780559006841,,
function_6,0,success,0.394748-0.334862-0.601103-0.823721-0.129607,1.1004839739211438,1.0689836411137827,,
function_6,1,success,0.396539-0.335958-0.608799-0.800598-0.152179,1.062207449245525,1.0333663001343334,,
function_6,2,success,0.393715-0.344425-0.615067-0.803843-0.133690,1.0916999997263406,1.0601964601217557,,
function_6,3,success,0.386652-0.364892-0.551978-0.807022-0.136747,1.0806014285898007,1.0461227170098986,,
function_6,4,success,0.398459-0.359197-0.615029-0.795154-0.142714,1.0626180280543571,1.034557501095235,,
function_7,0,success,0.194566-0.258690-0.412060-0.184265-0.410379-0.890572,0.9493408877790013,0.8243087759103194,,
function_7,1,success,0.365231-0.338089-0.424062-0.202957-0.396534-0.835772,1.0129607490103671,0.9292333322720201,,
function_7,2,success,0.210677-0.384873-0.386152-0.267374-0.393801-0.823726,0.9695985601537007,0.8957781040195605,,
function_7,3,success,0.314523-0.327792-0.434614-0.240874-0.381873-0.859096,1.014669150018772,0.9308678066930529,,
function_7,4,success,0.338516-0.259640-0.435217-0.256444-0.393479-0.885889,0.9941314457450134,0.8864658229097717,,
function_8,0,success,0.052904-0.208298-0.113321-0.214391-0.784614-0.541387-0.000000-0.053595,9.838390021841864,9.830200826572481,,
function_8,1,success,0.095160-0.000000-0.041749-0.005171-0.727359-0.444323-0.041363-0.124362,9.863985896038244,9.856515090122024,,
function_8,2,success,0.088027-0.169874-0.041860-0.121427-0.940011-0.528961-0.132215-0.136431,9.861230446664523,9.854063609926419,,
function_8,3,success,0.095794-0.198090-0.049484-0.116428-0.913154-0.476340-0.102696-0.285610,9.86010453934826,9.852933228927235,,
function_8,4,success,0.000000-0.147176-0.066799-0.139549-0.900868-0.443751-0.174813-0.307418,9.862465181360482,9.8550122169225,,
