function,recommendation_type,candidate_label,portal_string,mu_t,sigma_t,ei,log_ei,pi,ucb,ucb_beta,ts,exploration_score,is_submission,seed,candidate_origin,stagnation_flag,stagnation_gain,stagnation_threshold,stagnation_scale,why,selection_mode,consensus_frequency,n_seed_success
function_1,chosen_submission,pool_002254,0.000038-0.024944,0.007326114125135941,2.6927313756367107e-05,1.8048513878454153e-35,-17100989.346261784,0.0,0.007372753600673318,3.0,0.007378238954278507,7.716543007458847e-05,True,4,global,False,0.1648035305810607,1e-15,7.903833193127448e-47,"mu_t=0.00732611, sigma_t=2.69273e-05, ei=1.80485e-35, pi=0, ucb=0.00737275, beta=3.00, ts=0.00737824, explore=7.71654e-05, stagnation_gain=0.164804, threshold=1e-15",robust_consensus,1,5
function_1,primary_pareto_sigma,pool_001171,0.999904-0.956057,0.007326110544887723,2.727403351849466e-05,1.8048513878454153e-35,-16668963.509453932,0.0,0.007373350556669092,3.0,0.007304352121053938,8.719633721274934e-06,False,4,global,False,0.1648035305810607,1e-15,7.903833193127448e-47,"mu_t=0.00732611, sigma_t=2.7274e-05, ei=1.80485e-35, pi=0, ucb=0.00737335, beta=3.00, ts=0.00730435, explore=8.71963e-06, stagnation_gain=0.164804, threshold=1e-15",robust_consensus,1,5
function_1,trust_region_ts,pool_003780,0.413197-0.458759,0.007326113540286515,2.6941909403453338e-05,1.8048513878454153e-35,-17082465.76767111,0.0,0.007372778296226214,3.0,0.007403632748212627,1.297437127137914e-05,False,4,tr,False,0.1648035305810607,1e-15,7.903833193127448e-47,"mu_t=0.00732611, sigma_t=2.69419e-05, ei=1.80485e-35, pi=0, ucb=0.00737278, beta=3.00, ts=0.00740363, explore=1.29744e-05, stagnation_gain=0.164804, threshold=1e-15",robust_consensus,1,5
function_1,global_explore,pool_002254,0.000038-0.024944,0.007326114125135941,2.6927313756367107e-05,1.8048513878454153e-35,-17100989.346261784,0.0,0.007372753600673318,3.0,0.007378238954278507,7.716543007458847e-05,False,4,global,False,0.1648035305810607,1e-15,7.903833193127448e-47,"mu_t=0.00732611, sigma_t=2.69273e-05, ei=1.80485e-35, pi=0, ucb=0.00737275, beta=3.00, ts=0.00737824, explore=7.71654e-05, stagnation_gain=0.164804, threshold=1e-15",robust_consensus,1,5
function_1,best_mu,pool_002254,0.000038-0.024944,0.007326114125135941,2.6927313756367107e-05,1.8048513878454153e-35,-17100989.346261784,0.0,0.007372753600673318,3.0,0.007378238954278507,7.716543007458847e-05,False,4,global,False,0.1648035305810607,1e-15,7.903833193127448e-47,"mu_t=0.00732611, sigma_t=2.69273e-05, ei=1.80485e-35, pi=0, ucb=0.00737275, beta=3.00, ts=0.00737824, explore=7.71654e-05, stagnation_gain=0.164804, threshold=1e-15",robust_consensus,1,5
function_1,best_sigma,pool_001171,0.999904-0.956057,0.007326110544887723,2.727403351849466e-05,1.8048513878454153e-35,-16668963.509453932,0.0,0.007373350556669092,3.0,0.007304352121053938,8.719633721274934e-06,False,4,global,False,0.1648035305810607,1e-15,7.903833193127448e-47,"mu_t=0.00732611, sigma_t=2.7274e-05, ei=1.80485e-35, pi=0, ucb=0.00737335, beta=3.00, ts=0.00730435, explore=8.71963e-06, stagnation_gain=0.164804, threshold=1e-15",robust_consensus,1,5
function_1,best_logEI,pool_001171,0.999904-0.956057,0.007326110544887723,2.727403351849466e-05,1.8048513878454153e-35,-16668963.509453932,0.0,0.007373350556669092,3.0,0.007304352121053938,8.719633721274934e-06,False,4,global,False,0.1648035305810607,1e-15,7.903833193127448e-47,"mu_t=0.00732611, sigma_t=2.7274e-05, ei=1.80485e-35, pi=0, ucb=0.00737335, beta=3.00, ts=0.00730435, explore=8.71963e-06, stagnation_gain=0.164804, threshold=1e-15",robust_consensus,1,5
function_1,best_PI,pool_000000,0.727208-0.114955,0.007326112853522448,2.6980641240760797e-05,1.8048513878454153e-35,-17033456.011659883,0.0,0.007372844694972234,3.0,0.007327035396308735,2.8591106328924233e-05,False,4,global,False,0.1648035305810607,1e-15,7.903833193127448e-47,"mu_t=0.00732611, sigma_t=2.69806e-05, ei=1.80485e-35, pi=0, ucb=0.00737284, beta=3.00, ts=0.00732704, explore=2.85911e-05, stagnation_gain=0.164804, threshold=1e-15",robust_consensus,1,5
function_1,best_UCB,pool_001171,0.999904-0.956057,0.007326110544887723,2.727403351849466e-05,1.8048513878454153e-35,-16668963.509453932,0.0,0.007373350556669092,3.0,0.007304352121053938,8.719633721274934e-06,False,4,global,False,0.1648035305810607,1e-15,7.903833193127448e-47,"mu_t=0.00732611, sigma_t=2.7274e-05, ei=1.80485e-35, pi=0, ucb=0.00737335, beta=3.00, ts=0.00730435, explore=8.71963e-06, stagnation_gain=0.164804, threshold=1e-15",robust_consensus,1,5
function_1,best_exploration,pool_002254,0.000038-0.024944,0.007326114125135941,2.6927313756367107e-05,1.8048513878454153e-35,-17100989.346261784,0.0,0.007372753600673318,3.0,0.007378238954278507,7.716543007458847e-05,False,4,global,False,0.1648035305810607,1e-15,7.903833193127448e-47,"mu_t=0.00732611, sigma_t=2.69273e-05, ei=1.80485e-35, pi=0, ucb=0.00737275, beta=3.00, ts=0.00737824, explore=7.71654e-05, stagnation_gain=0.164804, threshold=1e-15",robust_consensus,1,5
function_1,shadow_oldstyle,pool_001171,0.999904-0.956057,0.007326110544887723,2.727403351849466e-05,1.8048513878454153e-35,-16668963.509453932,0.0,0.007373350556669092,3.0,0.007304352121053938,8.719633721274934e-06,False,4,global,False,0.1648035305810607,1e-15,7.903833193127448e-47,"mu_t=0.00732611, sigma_t=2.7274e-05, ei=1.80485e-35, pi=0, ucb=0.00737335, beta=3.00, ts=0.00730435, explore=8.71963e-06, stagnation_gain=0.164804, threshold=1e-15",robust_consensus,1,5
function_2,chosen_submission,pool_003757,0.731405-0.855051,0.638025246774396,0.06211638259973369,6.728888690680841e-05,-9.606515462633537,0.003536533767927187,0.7456139774195215,3.0,0.630697987221516,0.012592245843371938,True,1004,tr,False,0.040248706727148864,0.008918903378441138,0.44594516892205693,"mu_t=0.638025, sigma_t=0.0621164, ei=6.72889e-05, pi=0.00353653, ucb=0.745614, beta=3.00, ts=0.630698, explore=0.0125922, stagnation_gain=0.0402487, threshold=0.0089189",robust_consensus,1,5
function_2,primary_pareto_sigma,pool_003757,0.731405-0.855051,0.638025246774396,0.06211638259973369,6.728888690680841e-05,-9.606515462633537,0.003536533767927187,0.7456139774195215,3.0,0.630697987221516,0.012592245843371938,False,1004,tr,False,0.040248706727148864,0.008918903378441138,0.44594516892205693,"mu_t=0.638025, sigma_t=0.0621164, ei=6.72889e-05, pi=0.00353653, ucb=0.745614, beta=3.00, ts=0.630698, explore=0.0125922, stagnation_gain=0.0402487, threshold=0.0089189",robust_consensus,1,5
function_2,trust_region_ts,pool_003138,0.734759-0.870017,0.6195391520404752,0.06821902660296134,6.697007432144432e-05,-9.61126469027073,0.00323044616772179,0.7376979721596963,3.0,0.7784034836706715,0.01591453404967089,False,1004,tr,False,0.040248706727148864,0.008918903378441138,0.44594516892205693,"mu_t=0.619539, sigma_t=0.068219, ei=6.69701e-05, pi=0.00323045, ucb=0.737698, beta=3.00, ts=0.778403, explore=0.0159145, stagnation_gain=0.0402487, threshold=0.0089189",robust_consensus,1,5
function_2,global_explore,pool_000624,0.796354-0.490212,0.3350323960645807,0.1868246594437677,0.00035482087395591317,-7.943897476238268,0.005912686157359068,0.6586221983279387,3.0,0.35603171795150396,0.5063489837878452,False,1004,global,False,0.040248706727148864,0.008918903378441138,0.44594516892205693,"mu_t=0.335032, sigma_t=0.186825, ei=0.000354821, pi=0.00591269, ucb=0.658622, beta=3.00, ts=0.356032, explore=0.506349, stagnation_gain=0.0402487, threshold=0.0089189",robust_consensus,1,5
function_2,best_mu,pool_003464,0.715363-0.885515,0.6740097665489453,0.03857678665733107,3.2903131997460147e-06,-12.624527800226797,0.00033192689003774605,0.7408267210321902,3.0,0.683751916868457,0.0037922213129468634,False,1004,tr,False,0.040248706727148864,0.008918903378441138,0.44594516892205693,"mu_t=0.67401, sigma_t=0.0385768, ei=3.29031e-06, pi=0.000331927, ucb=0.740827, beta=3.00, ts=0.683752, explore=0.00379222, stagnation_gain=0.0402487, threshold=0.0089189",robust_consensus,1,5
function_2,best_sigma,pool_000975,0.797202-0.889513,0.33372083146147324,0.18685439694621941,0.0003476334047736202,-7.964362068000529,0.005802526013305316,0.657362140589968,3.0,0.12489752473452786,0.19019041785060062,False,1004,global,False,0.040248706727148864,0.008918903378441138,0.44594516892205693,"mu_t=0.333721, sigma_t=0.186854, ei=0.000347633, pi=0.00580253, ucb=0.657362, beta=3.00, ts=0.124898, explore=0.19019, stagnation_gain=0.0402487, threshold=0.0089189",robust_consensus,1,5
